cell_id,district,min_lon,min_lat,max_lon,max_lat,bbox
magdalena_del_mar_01,MAGDALENA DEL MAR,-77.080000,-12.100000,-77.070000,-12.090000,"-77.080000,-12.100000,-77.070000,-12.090000"
magdalena_del_mar_02,MAGDALENA DEL MAR,-77.070000,-12.100000,-77.060000,-12.090000,"-77.070000,-12.100000,-77.060000,-12.090000"
miraflores_01,MIRAFLORES,-77.050000,-12.120000,-77.040000,-12.110000,"-77.050000,-12.120000,-77.040000,-12.110000"
miraflores_02,MIRAFLORES,-77.040000,-12.130000,-77.030000,-12.120000,"-77.040000,-12.130000,-77.030000,-12.120000"
miraflores_03,MIRAFLORES,-77.040000,-12.120000,-77.030000,-12.110000,"-77.040000,-12.120000,-77.030000,-12.110000"
miraflores_04,MIRAFLORES,-77.030000,-12.140000,-77.020000,-12.130000,"-77.030000,-12.140000,-77.020000,-12.130000"
miraflores_05,MIRAFLORES,-77.030000,-12.130000,-77.020000,-12.120000,"-77.030000,-12.130000,-77.020000,-12.120000"
miraflores_06,MIRAFLORES,-77.020000,-12.130000,-77.010000,-12.120000,"-77.020000,-12.130000,-77.010000,-12.120000"
miraflores_07,MIRAFLORES,-77.010000,-12.130000,-77.000000,-12.120000,"-77.010000,-12.130000,-77.000000,-12.120000"
san_isidro_01,SAN ISIDRO,-77.060000,-12.110000,-77.050000,-12.100000,"-77.060000,-12.110000,-77.050000,-12.100000"
san_isidro_02,SAN ISIDRO,-77.060000,-12.100000,-77.050000,-12.090000,"-77.060000,-12.100000,-77.050000,-12.090000"
san_isidro_03,SAN ISIDRO,-77.050000,-12.110000,-77.040000,-12.100000,"-77.050000,-12.110000,-77.040000,-12.100000"
san_isidro_04,SAN ISIDRO,-77.050000,-12.100000,-77.040000,-12.090000,"-77.050000,-12.100000,-77.040000,-12.090000"
san_isidro_05,SAN ISIDRO,-77.040000,-12.110000,-77.030000,-12.100000,"-77.040000,-12.110000,-77.030000,-12.100000"
san_isidro_06,SAN ISIDRO,-77.040000,-12.100000,-77.030000,-12.090000,"-77.040000,-12.100000,-77.030000,-12.090000"
san_isidro_07,SAN ISIDRO,-77.030000,-12.100000,-77.020000,-12.090000,"-77.030000,-12.100000,-77.020000,-12.090000"
san_isidro_08,SAN ISIDRO,-77.020000,-12.110000,-77.010000,-12.100000,"-77.020000,-12.110000,-77.010000,-12.100000"
san_isidro_09,SAN ISIDRO,-77.020000,-12.100000,-77.010000,-12.090000,"-77.020000,-12.100000,-77.010000,-12.090000"
