id_imagen,objeto_detectado,conteo_objeto
1725467038238534,construction--barrier--curb,18
1725467038238534,construction--flat--road,26
1725467038238534,construction--flat--sidewalk,10
1725467038238534,construction--barrier--wall,2
1725467038238534,construction--flat--traffic-island,4
1725467038238534,construction--structure--building,20
1725467038238534,marking--continuous--dashed,12
1725467038238534,marking--continuous--solid,9
1725467038238534,nature--sky,14
1725467038238534,nature--terrain,18
1725467038238534,nature--vegetation,21
1725467038238534,object--wire-group,15
1725467038238534,void--ego-vehicle,10
1725467038238534,void--ground,4
1725467038238534,void--unlabeled,51
1725467038238534,object--vehicle--car,1
1725467038238534,object--support--utility-pole,1
1725467038238534,object--street-light,2
1725467038238534,human--rider--motorcyclist,1
1725467038238534,object--support--pole,6
1725467038238534,object--vehicle--motorcycle,1
1725467038238534,marking--discrete--text--30,1
1725467038238534,human--person--individual,1
2633416350379749,construction--barrier--curb,18
2633416350379749,construction--barrier--wall,13
2633416350379749,construction--flat--road,31
2633416350379749,construction--barrier--fence,1
2633416350379749,construction--flat--sidewalk,16
2633416350379749,construction--structure--building,25
2633416350379749,marking--continuous--solid,7
2633416350379749,nature--sky,23
2633416350379749,nature--terrain,18
2633416350379749,nature--vegetation,15
2633416350379749,object--wire-group,9
2633416350379749,void--ego-vehicle,6
2633416350379749,void--unlabeled,42
2633416350379749,object--support--pole,3
2633416350379749,object--street-light,1
2633416350379749,object--support--utility-pole,1
2633416350379749,object--vehicle--bicycle,1
2633416350379749,object--trash-can,1
2633416350379749,construction--flat--driveway,1
1227458295172979,construction--barrier--curb,21
1227458295172979,construction--flat--road,21
1227458295172979,construction--barrier--wall,11
1227458295172979,construction--flat--sidewalk,14
1227458295172979,construction--structure--building,18
1227458295172979,marking--continuous--dashed,11
1227458295172979,marking--continuous--solid,15
1227458295172979,nature--sky,14
1227458295172979,nature--terrain,24
1227458295172979,nature--vegetation,22
1227458295172979,object--wire-group,18
1227458295172979,void--ego-vehicle,4
1227458295172979,void--ground,3
1227458295172979,void--unlabeled,82
1227458295172979,object--vehicle--car,2
1227458295172979,object--support--utility-pole,1
1227458295172979,human--rider--motorcyclist,1
1227458295172979,object--street-light,3
1227458295172979,object--vehicle--motorcycle,1
1227458295172979,object--support--pole,5
1227458295172979,marking--discrete--other-marking,2
1227458295172979,marking--discrete--text--bus,1
1075226170351579,construction--barrier--curb,15
1075226170351579,construction--structure--building,13
1075226170351579,construction--flat--road,6
1075226170351579,construction--flat--sidewalk,13
1075226170351579,construction--flat--curb-cut,3
1075226170351579,nature--snow,3
1075226170351579,nature--vegetation,3
1075226170351579,void--ego-vehicle,8
1075226170351579,void--ground,7
1075226170351579,void--static,20
1075226170351579,void--unlabeled,28
1075226170351579,object--traffic-cone,2
1075226170351579,object--sign--advertisement,1
1075226170351579,object--sign--store,1
1015085723641010,construction--barrier--curb,8
1015085723641010,nature--sky,24
1015085723641010,construction--flat--traffic-island,6
1015085723641010,construction--structure--building,8
1015085723641010,construction--flat--road,7
1015085723641010,construction--barrier--wall,4
1015085723641010,construction--flat--sidewalk,4
1015085723641010,nature--vegetation,11
1015085723641010,void--unlabeled,71
1015085723641010,void--ego-vehicle,2
1015085723641010,nature--terrain,6
1015085723641010,object--vehicle--car,2
1015085723641010,object--street-light,3
1015085723641010,object--support--pole,3
1236660840892462,construction--barrier--curb,21
1236660840892462,construction--barrier--wall,12
1236660840892462,construction--barrier--fence,9
1236660840892462,construction--flat--road,22
1236660840892462,construction--flat--sidewalk,19
1236660840892462,construction--structure--building,18
1236660840892462,marking--continuous--dashed,8
1236660840892462,marking--continuous--solid,15
1236660840892462,nature--sky,23
1236660840892462,nature--terrain,9
1236660840892462,nature--vegetation,16
1236660840892462,object--wire-group,3
1236660840892462,void--ego-vehicle,1
1236660840892462,void--unlabeled,45
1236660840892462,object--support--utility-pole,1
1236660840892462,object--vehicle--car,1
1236660840892462,object--support--pole,1
1236660840892462,object--street-light,3
1236660840892462,marking--discrete--other-marking,1
1236660840892462,marking--discrete--text--30,1
1264498954983487,construction--barrier--curb,12
1264498954983487,construction--flat--road,19
1264498954983487,construction--barrier--wall,15
1264498954983487,construction--flat--sidewalk,17
1264498954983487,construction--structure--building,28
1264498954983487,marking--continuous--dashed,12
1264498954983487,marking--continuous--solid,6
1264498954983487,nature--sky,24
1264498954983487,nature--terrain,15
1264498954983487,nature--vegetation,11
1264498954983487,object--wire-group,15
1264498954983487,void--ego-vehicle,9
1264498954983487,void--unlabeled,23
1264498954983487,object--support--utility-pole,1
1264498954983487,object--street-light,1
1264498954983487,object--cctv-camera,1
1264498954983487,object--trash-can,1
1264498954983487,object--support--pole,1
1264498954983487,object--vehicle--motorcycle,1
1513665445980666,construction--barrier--curb,22
1513665445980666,construction--flat--road,21
1513665445980666,construction--flat--sidewalk,12
1513665445980666,construction--barrier--wall,4
1513665445980666,construction--structure--building,22
1513665445980666,marking--continuous--solid,6
1513665445980666,nature--sky,19
1513665445980666,nature--terrain,13
1513665445980666,nature--vegetation,15
1513665445980666,object--wire-group,13
1513665445980666,void--ego-vehicle,2
1513665445980666,void--unlabeled,45
1513665445980666,object--street-light,3
1513665445980666,object--support--pole,2
1513665445980666,object--support--utility-pole,1
1513665445980666,object--trash-can,1
