cell_id,bbox,queried_at_utc,max_images_requested,images_returned,status,notes
san_isidro_01,"-77.052500,-12.107500,-77.047500,-12.102500",2026-09-09T14:45:51.661477Z,30,,error,401 Client Error: Unauthorized for url: https://graph.mapillary.com/images?fields=id%2Cgeometry%2Ccomputed_geometry%2Ccaptured_at%2Ccompass_angle%2Csequence%2Cthumb_1024_url%2Ccamera_type%2Cmake%2Cmodel%2Cis_pano%2Cquality_score%2Cdetections.value&bbox=-77.0525%2C-12.1075%2C-77.05%2C-12.105&limit=30
san_isidro_02,"-77.047500,-12.102500,-77.042500,-12.097500",2026-09-09T14:45:52.537582Z,30,,error,401 Client Error: Unauthorized for url: https://graph.mapillary.com/images?fields=id%2Cgeometry%2Ccomputed_geometry%2Ccaptured_at%2Ccompass_angle%2Csequence%2Cthumb_1024_url%2Ccamera_type%2Cmake%2Cmodel%2Cis_pano%2Cquality_score%2Cdetections.value&bbox=-77.0475%2C-12.1025%2C-77.045%2C-12.1&limit=30
san_isidro_03,"-77.047500,-12.097500,-77.042500,-12.092500",2026-09-09T14:45:53.344829Z,30,,error,401 Client Error: Unauthorized for url: https://graph.mapillary.com/images?fields=id%2Cgeometry%2Ccomputed_geometry%2Ccaptured_at%2Ccompass_angle%2Csequence%2Cthumb_1024_url%2Ccamera_type%2Cmake%2Cmodel%2Cis_pano%2Cquality_score%2Cdetections.value&bbox=-77.0475%2C-12.0975%2C-77.04625%2C-12.09625&lim
san_isidro_alt_01,"-77.057500,-12.112500,-77.052500,-12.107500",2026-09-09T14:45:54.321280Z,30,,error,401 Client Error: Unauthorized for url: https://graph.mapillary.com/images?fields=id%2Cgeometry%2Ccomputed_geometry%2Ccaptured_at%2Ccompass_angle%2Csequence%2Cthumb_1024_url%2Ccamera_type%2Cmake%2Cmodel%2Cis_pano%2Cquality_score%2Cdetections.value&bbox=-77.0575%2C-12.1125%2C-77.05625%2C-12.11125&lim
san_juan_lurigancho_01,"-77.012500,-12.010000,-77.007500,-12.005000",2026-09-09T14:45:55.274020Z,30,,error,401 Client Error: Unauthorized for url: https://graph.mapillary.com/images?fields=id%2Cgeometry%2Ccomputed_geometry%2Ccaptured_at%2Ccompass_angle%2Csequence%2Cthumb_1024_url%2Ccamera_type%2Cmake%2Cmodel%2Cis_pano%2Cquality_score%2Cdetections.value&bbox=-77.0125%2C-12.01%2C-77.01124999999999%2C-12.00
san_juan_lurigancho_02,"-77.007500,-11.995000,-77.002500,-11.990000",2026-09-09T14:45:56.246665Z,30,,error,401 Client Error: Unauthorized for url: https://graph.mapillary.com/images?fields=id%2Cgeometry%2Ccomputed_geometry%2Ccaptured_at%2Ccompass_angle%2Csequence%2Cthumb_1024_url%2Ccamera_type%2Cmake%2Cmodel%2Cis_pano%2Cquality_score%2Cdetections.value&bbox=-77.0075%2C-11.995%2C-77.005%2C-11.9925&limit=3
san_juan_lurigancho_03,"-77.007500,-11.980000,-77.002500,-11.975000",2026-09-09T14:45:57.064049Z,30,,error,401 Client Error: Unauthorized for url: https://graph.mapillary.com/images?fields=id%2Cgeometry%2Ccomputed_geometry%2Ccaptured_at%2Ccompass_angle%2Csequence%2Cthumb_1024_url%2Ccamera_type%2Cmake%2Cmodel%2Cis_pano%2Cquality_score%2Cdetections.value&bbox=-77.0075%2C-11.98%2C-77.00625%2C-11.97875&limit
san_juan_lurigancho_alt_01,"-77.002500,-11.965000,-76.997500,-11.960000",2026-09-09T14:45:58.107848Z,30,,error,401 Client Error: Unauthorized for url: https://graph.mapillary.com/images?fields=id%2Cgeometry%2Ccomputed_geometry%2Ccaptured_at%2Ccompass_angle%2Csequence%2Cthumb_1024_url%2Ccamera_type%2Cmake%2Cmodel%2Cis_pano%2Cquality_score%2Cdetections.value&bbox=-77.0025%2C-11.965%2C-77.0%2C-11.9625&limit=30
san_isidro_01,"-77.052500,-12.107500,-77.047500,-12.102500",2026-09-09T14:49:24.022224Z,30,,error,401 Client Error: Unauthorized for url: https://graph.mapillary.com/images?fields=id%2Cgeometry%2Ccomputed_geometry%2Ccaptured_at%2Ccompass_angle%2Csequence%2Cthumb_1024_url%2Ccamera_type%2Cmake%2Cmodel%2Cis_pano%2Cquality_score%2Cdetections.value&bbox=-77.0525%2C-12.1075%2C-77.05%2C-12.105&limit=30
san_isidro_02,"-77.047500,-12.102500,-77.042500,-12.097500",2026-09-09T14:49:24.880211Z,30,,error,401 Client Error: Unauthorized for url: https://graph.mapillary.com/images?fields=id%2Cgeometry%2Ccomputed_geometry%2Ccaptured_at%2Ccompass_angle%2Csequence%2Cthumb_1024_url%2Ccamera_type%2Cmake%2Cmodel%2Cis_pano%2Cquality_score%2Cdetections.value&bbox=-77.0475%2C-12.1025%2C-77.045%2C-12.1&limit=30
