id_imagen,objeto_detectado,conteo_objeto
1057860719453023,construction--barrier--curb,2
1057860719453023,construction--structure--building,21
1057860719453023,construction--flat--sidewalk,9
1057860719453023,nature--sky,18
1057860719453023,construction--barrier--wall,6
1057860719453023,construction--barrier--fence,9
1057860719453023,construction--flat--road,2
1057860719453023,nature--vegetation,17
1057860719453023,nature--terrain,2
1057860719453023,object--wire-group,5
1057860719453023,void--ego-vehicle,9
1057860719453023,void--static,17
1057860719453023,void--unlabeled,42
1057860719453023,human--person--individual,1
1057860719453023,object--support--utility-pole,1
1057860719453023,object--vehicle--bicycle,1
1057860719453023,object--sign--advertisement,1
1057860719453023,object--junction-box,1
1083567019905321,warning--school-zone--g2,1
1083567019905321,construction--barrier--curb,6
1083567019905321,construction--structure--building,39
1083567019905321,construction--flat--sidewalk,19
1083567019905321,construction--flat--road,2
1083567019905321,construction--barrier--wall,3
1083567019905321,construction--flat--parking,5
1083567019905321,nature--sky,25
1083567019905321,nature--terrain,6
1083567019905321,nature--vegetation,25
1083567019905321,object--wire-group,16
1083567019905321,void--ego-vehicle,3
1083567019905321,void--unlabeled,129
1083567019905321,object--vehicle--car,12
1083567019905321,object--traffic-sign--front,3
1083567019905321,human--person--individual,1
1083567019905321,object--support--utility-pole,7
1083567019905321,object--street-light,1
1083567019905321,object--support--pole,6
1083567019905321,object--vehicle--motorcycle,1
1285545856121885,construction--barrier--curb,23
1285545856121885,construction--flat--sidewalk,25
1285545856121885,construction--flat--parking,7
1285545856121885,construction--flat--road,19
1285545856121885,construction--structure--building,57
1285545856121885,nature--sky,37
1285545856121885,nature--terrain,13
1285545856121885,nature--vegetation,32
1285545856121885,object--wire-group,32
1285545856121885,void--ego-vehicle,3
1285545856121885,void--ground,20
1285545856121885,void--unlabeled,236
1285545856121885,object--vehicle--car,22
1285545856121885,object--vehicle--motorcycle,1
1285545856121885,object--support--pole,10
1285545856121885,object--traffic-sign--front,2
1285545856121885,object--traffic-sign--back,1
1285545856121885,object--support--utility-pole,13
1285545856121885,object--street-light,5
1285545856121885,human--person--individual,1
1285545856121885,marking--discrete--crosswalk-zebra,3
1285545856121885,object--sign--advertisement,4
1285545856121885,object--junction-box,1
1285545856121885,object--sign--store,1
1285545856121885,human--rider--motorcyclist,1
1285545856121885,construction--flat--driveway,1
1285545856121885,object--manhole,2
1285545856121885,marking--discrete--other-marking,1
1285545856121885,object--banner,1
1714874929298679,construction--barrier--curb,17
1714874929298679,construction--flat--road,17
1714874929298679,construction--flat--parking,7
1714874929298679,construction--flat--pedestrian-area,3
1714874929298679,construction--flat--curb-cut,6
1714874929298679,construction--barrier--fence,2
1714874929298679,construction--flat--sidewalk,12
1714874929298679,construction--structure--building,23
1714874929298679,nature--sky,15
1714874929298679,nature--terrain,4
1714874929298679,nature--vegetation,19
1714874929298679,object--wire-group,13
1714874929298679,void--ego-vehicle,3
1714874929298679,void--ground,16
1714874929298679,void--unlabeled,114
1714874929298679,object--traffic-sign--front,2
1714874929298679,object--vehicle--car,3
1714874929298679,human--person--individual,1
1714874929298679,object--vehicle--motorcycle,1
1714874929298679,object--support--utility-pole,2
1714874929298679,object--support--pole,2
1714874929298679,human--rider--motorcyclist,1
414125135083885,construction--barrier--curb,10
414125135083885,construction--barrier--fence,3
414125135083885,construction--flat--parking,5
414125135083885,construction--flat--road,16
414125135083885,construction--flat--sidewalk,15
414125135083885,construction--structure--building,27
414125135083885,nature--sky,18
414125135083885,nature--vegetation,7
414125135083885,object--wire-group,15
414125135083885,void--ego-vehicle,6
414125135083885,void--ground,9
414125135083885,void--unlabeled,125
414125135083885,object--vehicle--car,3
414125135083885,object--vehicle--motorcycle,2
414125135083885,object--support--utility-pole,4
414125135083885,human--rider--motorcyclist,1
414125135083885,construction--flat--driveway,1
414125135083885,marking--discrete--other-marking,1
414125135083885,object--traffic-sign--front,1
2161583660905600,construction--barrier--curb,2
2161583660905600,construction--barrier--fence,5
2161583660905600,construction--barrier--wall,3
2161583660905600,construction--structure--building,42
2161583660905600,construction--flat--road,6
2161583660905600,construction--flat--sidewalk,2
2161583660905600,nature--sky,33
2161583660905600,nature--terrain,13
2161583660905600,nature--vegetation,27
2161583660905600,object--wire-group,22
2161583660905600,void--ego-vehicle,1
2161583660905600,void--ground,9
2161583660905600,void--unlabeled,131
2161583660905600,object--vehicle--car,10
2161583660905600,object--support--pole,7
2161583660905600,object--street-light,3
2161583660905600,object--support--utility-pole,5
2161583660905600,human--person--individual,2
2161583660905600,object--sign--advertisement,1
2161583660905600,object--traffic-sign--front,1
826280629467791,construction--barrier--curb,13
826280629467791,construction--structure--building,33
826280629467791,construction--flat--sidewalk,17
826280629467791,construction--flat--road,6
826280629467791,nature--sky,17
826280629467791,nature--terrain,6
826280629467791,nature--vegetation,17
826280629467791,object--wire-group,24
826280629467791,void--ego-vehicle,1
826280629467791,void--ground,4
826280629467791,void--static,4
826280629467791,void--unlabeled,136
826280629467791,object--support--utility-pole,12
826280629467791,object--vehicle--car,11
826280629467791,object--vehicle--motorcycle,1
826280629467791,human--person--individual,2
826280629467791,object--support--pole,4
826280629467791,marking--discrete--crosswalk-zebra,1
826280629467791,object--traffic-sign--front,3
826280629467791,object--sign--advertisement,1
826280629467791,construction--flat--crosswalk-plain,1
754528610199754,construction--barrier--curb,9
754528610199754,construction--flat--road,4
754528610199754,construction--structure--building,20
754528610199754,construction--flat--sidewalk,12
754528610199754,nature--sky,7
754528610199754,construction--barrier--wall,3
754528610199754,nature--terrain,13
754528610199754,nature--vegetation,11
754528610199754,void--ego-vehicle,5
754528610199754,void--unlabeled,29
754528610199754,object--support--pole,2
754528610199754,object--traffic-sign--back,1
754528610199754,object--support--utility-pole,1
899455185489641,construction--barrier--curb,4
899455185489641,construction--barrier--fence,13
899455185489641,construction--flat--sidewalk,10
899455185489641,construction--flat--road,5
899455185489641,construction--barrier--wall,12
899455185489641,construction--flat--traffic-island,8
899455185489641,construction--structure--building,19
899455185489641,nature--sky,13
899455185489641,nature--vegetation,10
899455185489641,object--wire-group,19
899455185489641,void--ego-vehicle,1
899455185489641,void--ground,5
899455185489641,void--unlabeled,54
899455185489641,object--support--utility-pole,3
899455185489641,object--support--pole,2
899455185489641,object--sign--store,1
899455185489641,object--sign--advertisement,1
921637943412608,construction--barrier--curb,10
921637943412608,construction--structure--building,26
921637943412608,construction--flat--sidewalk,11
921637943412608,construction--flat--road,12
921637943412608,construction--barrier--wall,4
921637943412608,nature--sky,14
921637943412608,nature--terrain,21
921637943412608,nature--vegetation,23
921637943412608,object--wire-group,15
921637943412608,void--ego-vehicle,1
921637943412608,void--ground,15
921637943412608,void--static,32
921637943412608,void--unlabeled,67
921637943412608,human--person--individual,1
921637943412608,object--traffic-sign--back,1
921637943412608,object--support--utility-pole,4
921637943412608,object--sign--store,2
921637943412608,object--support--pole,1
921637943412608,object--vehicle--car,1
921637943412608,object--mailbox,1
921637943412608,object--junction-box,1
